AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
Al Hokail for General Constructions,1010200901,Track special assets like goodwill and other intangible assets,Other Asset,Al Hokail Non-Medical Group,,
Al Hokail Sweden Carpentry for Decoration & Design,1010200902,Track special assets like goodwill and other intangible assets,Other Asset,Al Hokail Non-Medical Group,,
Al Hokail Qassr Sedair For Housing Units,1010200903,Track special assets like goodwill and other intangible assets,Other Asset,Al Hokail Non-Medical Group,,
Al Hokail for Advanced Studies & Training,1010200904,Track special assets like goodwill and other intangible assets,Other Asset,Al Hokail Non-Medical Group,,
Al Hokail Soft Digital,1010200905,Track special assets like goodwill and other intangible assets,Other Asset,Al Hokail Non-Medical Group,,
Al Hokail Ta'er Al Oqab Trading for Security Devices,1010200906,Track special assets like goodwill and other intangible assets,Other Asset,Al Hokail Non-Medical Group,,
Al Hokail for Gold & Jewelries,1010200907,Track special assets like goodwill and other intangible assets,Other Asset,Al Hokail Non-Medical Group,,
,,,,,,
